Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-08-2023,26,32.4,29.4,7
03-08-2023,26.8,33.6,29.4,0.7
04-08-2023,,34.2,29.6,3.5
05-08-2023,26.6,33,29.4,6.5
06-08-2023,26.4,33.4,28.8,6.8
07-08-2023,26.2,32.6,28.8,7
08-08-2023,26.4,34,29,5.2
09-08-2023,26,33.4,28.7,7
10-08-2023,25.8,33.2,28.3,7.2
11-08-2023,26.4,31.5,28.6,6.7
12-08-2023,25.8,33.6,28.8,5
13-08-2023,25.6,32.4,28.2,7
14-08-2023,25.8,32.8,28.4,6.7
15-08-2023,26,32.2,28.4,7
16-08-2023,26.4,33.6,28.8,7
17-08-2023,25,32.4,28.2,5.5
18-08-2023,25.8,32.4,28.2,7.2
19-08-2023,26.2,33,28.9,6.8
20-08-2023,26.4,34.8,29.4,7
21-08-2023,25,33.4,29.2,6.8
22-08-2023,26,32.2,28.8,4.5
23-08-2023,26.2,32.6,29,4.5
24-08-2023,26,33.6,29.2,5.5
25-08-2023,26,33,28.8,7.2
26-08-2023,27,32.2,29.1,7.4
27-08-2023,27.4,32.2,29,4.5
28-08-2023,25.6,33.6,28.7,5
29-08-2023,25,33.2,28.7,5
30-08-2023,26,32.2,28.5,7.5
31-08-2023,25.2,32.2,28.2,7.5
01-09-2023,25.4,32.6,28,7
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
