Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-04-2024,27.2,31.8,29.5,5.4
03-04-2024,27.4,32.6,28.3,2
04-04-2024,26,34.4,30.2,4
05-04-2024,26,32.4,29.6,6.2
06-04-2024,26.6,32.4,29.2,1.2
07-04-2024,26.4,34.4,30.1,1
08-04-2024,26,33,30,4.8
09-04-2024,27.4,32.2,28.6,5
10-04-2024,26.4,33.4,28.7,0.8
11-04-2024,26.4,32.4,29,5
12-04-2024,25.2,32.4,27.7,3.5
13-04-2024,26,32.8,29.5,3.7
14-04-2024,26.8,33.4,28.9,7.5
15-04-2024,,33.6,30.1,5.5
16-04-2024,26.4,34.6,30.9,4.5
17-04-2024,26,33.4,28.8,3.5
18-04-2024,25.4,33.4,29.6,3.6
19-04-2024,27.2,33.2,29.5,3.7
20-04-2024,27,33.6,30.1,0.6
21-04-2024,26,33,29.6,2.3
22-04-2024,27.4,34,30.9,2.5
23-04-2024,28,32.8,29.8,7
24-04-2024,27.4,34.4,30,3.5
25-04-2024,25.6,32,29,1
26-04-2024,26.4,34.4,30.2,0
27-04-2024,27.4,34.4,29.5,7
28-04-2024,26.2,33.6,30.2,5.5
29-04-2024,26.8,35,31.3,2.7
30-04-2024,28,34.4,31,6.8
01-05-2024,28,33,30.4,5.6
02-05-2024,28,,31.3,0.6
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
