Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-12-2023,25.8,33.6,29.4,0
03-12-2023,26,32.2,28.6,6.1
04-12-2023,26,29,26.7,1.7
05-12-2023,24.8,32.4,29.4,0
06-12-2023,26.2,33.4,29.4,6.5
07-12-2023,27.2,33.4,29.2,6.7
08-12-2023,26.4,32.6,29.4,0.6
09-12-2023,26.6,32.4,29.1,3.6
10-12-2023,26.8,32,29.2,1
11-12-2023,26.8,33,30,0
12-12-2023,28,33.2,29.7,7
13-12-2023,26.4,33,30.1,3.8
14-12-2023,26.8,33.8,30.6,6.8
15-12-2023,25,33.4,30.4,7.6
16-12-2023,26.4,33.6,30.3,5.2
17-12-2023,26.4,34.8,30.6,7.7
18-12-2023,26.8,34.2,30.7,7.8
19-12-2023,25.8,34.4,30.3,7.5
20-12-2023,26.2,35.6,30.3,
21-12-2023,25.4,34.6,29.9,8
22-12-2023,26.2,33.2,30.1,7
23-12-2023,26,33.8,31,1.8
24-12-2023,28,33.6,30.6,6.6
25-12-2023,27,32.2,28.3,5.3
26-12-2023,25.2,31,28.4,2
27-12-2023,26.4,33.2,28.7,0
28-12-2023,26.6,33.2,29.9,3.8
29-12-2023,27.2,33,29.3,
30-12-2023,26.4,32.6,29.2,4
31-12-2023,27.2,32.2,28.3,2.4
01-01-2024,26.4,32.2,29.6,5.6
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
