Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-02-2024,25.6,34.2,28.2,3.1
03-02-2024,25,31.6,28.1,3.2
04-02-2024,26.2,31,28,0.8
05-02-2024,26,32,27.9,2.4
06-02-2024,26.2,31,26.4,3.4
07-02-2024,24.6,33.4,28.9,3.5
08-02-2024,25.4,32.6,29.3,5
09-02-2024,26,31,29,8.5
10-02-2024,25.2,32,28.6,4.2
11-02-2024,26.6,32,28.8,5.2
12-02-2024,26.2,32.6,28.6,7.6
13-02-2024,26,31.2,28.6,5
14-02-2024,24.4,30,27.6,6.8
15-02-2024,,31.4,28.5,2.1
16-02-2024,26.4,30,28.1,0.8
17-02-2024,25,31,28.3,0.2
18-02-2024,26,30.4,28.6,3
19-02-2024,26.6,32.4,29.5,2.7
20-02-2024,26.8,33,29.8,5.2
21-02-2024,26,33,29.5,7.2
22-02-2024,27.4,34,30.6,0.3
23-02-2024,27.2,34,30.3,5.8
24-02-2024,27.4,31.6,28.9,2.4
25-02-2024,26,32.8,28.4,3.8
26-02-2024,25.6,31,28.7,1.7
27-02-2024,26.2,32.2,29.1,2.5
28-02-2024,24.8,30.8,27.6,5.2
29-02-2024,25,27,26.1,0.3
01-03-2024,25.2,32.4,29.1,0
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
