Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-01-2024,27.2,31.8,29.7,0.7
03-01-2024,26.6,30.2,28,0
04-01-2024,26.4,31.4,27.1,0
05-01-2024,25,32.4,28.1,0
06-01-2024,25.2,32.2,27.8,4
07-01-2024,25.8,33.2,28.1,3.7
08-01-2024,25.8,31.6,28.3,4.2
09-01-2024,25,33.8,29.2,0
10-01-2024,26.4,32.8,29.2,6
11-01-2024,26.8,32.8,27.3,3.8
12-01-2024,25,33.4,28.6,0.8
13-01-2024,26.2,32.4,28.4,3
14-01-2024,26.2,32.4,29.5,0.4
15-01-2024,26,31.4,29.4,3.9
16-01-2024,27.2,34.6,30.2,3.2
17-01-2024,27.2,32,28.4,5.6
18-01-2024,25,32.6,28.2,1
19-01-2024,24.8,28.4,26.4,1
20-01-2024,24.8,35.4,30.5,0
21-01-2024,26,32.8,28.8,8
22-01-2024,26.4,35,30.4,5.4
23-01-2024,27,34.6,30.1,5.8
24-01-2024,26,33.6,30.2,2.7
25-01-2024,27,33,30.1,5.7
26-01-2024,27,32.4,29.1,6.7
27-01-2024,25.6,28.4,26.3,2.5
28-01-2024,25,30.6,27.4,0
29-01-2024,,29.8,27.2,1.2
30-01-2024,24.6,32.8,26.9,0.8
31-01-2024,25,31.4,27.9,0.7
01-02-2024,25,31.6,27.8,2.2
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
