Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-07-2023,27.6,32.4,29.3,2.7
03-07-2023,26.8,32.2,29.1,
04-07-2023,24.6,33,28.7,3.5
05-07-2023,26.4,33.4,29.3,5.5
06-07-2023,26.4,30.2,27.8,6
07-07-2023,,31.8,28.2,1.5
08-07-2023,25.4,32,28.1,1.2
09-07-2023,25.4,33.2,28.5,2.4
10-07-2023,26.2,33,29.3,4.5
11-07-2023,26.4,33.2,29.1,3.4
12-07-2023,26,32,29.1,6.6
13-07-2023,26.8,32.6,28.9,6.3
14-07-2023,26.4,32.6,29,4.5
15-07-2023,26,32.6,28.9,4
16-07-2023,25.6,32.8,28.9,5
17-07-2023,26.6,33.4,29.3,5.6
18-07-2023,25.8,33.2,28.8,5
19-07-2023,25.6,34.6,29.5,6.6
20-07-2023,25.2,32.4,27.9,6.8
21-07-2023,25.4,33.6,28.8,6.6
22-07-2023,26.2,32.8,29.1,4
23-07-2023,26,33.6,29,6
24-07-2023,,32,28.8,6.8
25-07-2023,26,30.8,28,2.7
26-07-2023,26,30.8,28,3.3
27-07-2023,26.4,32.6,29,1.5
28-07-2023,25,33.2,28.9,1
29-07-2023,26,32.8,28.6,6.3
30-07-2023,25.6,33.2,28.5,6
31-07-2023,,33,28.2,4.8
01-08-2023,24,33.2,28.7,6
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
