Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-06-2024,,33.6,29.7,1
03-06-2024,,33.8,28.8,1.5
04-06-2024,27.2,33.4,29.6,0.4
05-06-2024,27,33.4,30,3
06-06-2024,26.6,35.6,30.7,6
07-06-2024,27,33.2,29.9,6.6
08-06-2024,27.2,33.8,30.5,6
09-06-2024,27.6,33.4,29.6,6.8
10-06-2024,27,34,30.7,3.6
11-06-2024,27,33.4,28.4,4.2
12-06-2024,26,32.2,28.9,3.2
13-06-2024,26,32.6,29,3
14-06-2024,,33.6,29.7,1
15-06-2024,26,33.2,28.9,6.8
16-06-2024,24.2,30.4,28.2,3
17-06-2024,25,32.4,29.7,1.7
18-06-2024,27.2,32.6,29.3,6.7
19-06-2024,26,33.8,29.8,0.5
20-06-2024,25.8,33.6,29.7,7
21-06-2024,,34.2,29.8,7
22-06-2024,27,33.4,29.2,6.7
23-06-2024,,34.4,30.2,0.8
24-06-2024,26.4,33.4,29.9,7
25-06-2024,27.2,32.4,27.3,3.8
26-06-2024,25.4,34.4,29.8,2
27-06-2024,26,33.2,29.7,7
28-06-2024,27.4,33.4,29.6,5.5
29-06-2024,27.4,33.2,27.3,6.5
30-06-2024,25.4,33,29.4,0.6
01-07-2024,26,32,29.7,6
02-07-2024,,,,
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
