Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-03-2024,26.4,30.4,27.7,5.2
03-03-2024,25.8,31,27.7,0
04-03-2024,25,34,29.2,0.2
05-03-2024,26.4,35.2,30.2,1
06-03-2024,27.2,33.8,29.6,2.4
07-03-2024,26.8,34.6,29.7,1.2
08-03-2024,25,32,29.2,4.6
09-03-2024,26.6,27.2,25.4,0.5
10-03-2024,24.2,30.8,27.9,0
11-03-2024,25.4,29.8,27.9,0.2
12-03-2024,25,31.4,28.8,0
13-03-2024,26.4,31.6,28.2,3
14-03-2024,26.6,29.6,27.2,1.2
15-03-2024,24.6,30.8,27.4,0
16-03-2024,24,30,26,0
17-03-2024,,29,27,1
18-03-2024,25.6,32.4,29,2.1
19-03-2024,26.2,34.8,30.2,5
20-03-2024,25,35.4,30.4,9.9
21-03-2024,26,32,29,9.7
22-03-2024,25.2,29.6,26.4,9
23-03-2024,25.4,33.6,29.8,0
24-03-2024,26,33.4,29.9,9.9
25-03-2024,27.2,32,29.2,8
26-03-2024,27.4,34.2,30.2,5
27-03-2024,27.2,30.8,28.3,5.2
28-03-2024,26,32.4,29.3,0
29-03-2024,26.8,33.4,29.8,5.5
30-03-2024,27.2,33.6,29.7,6.2
31-03-2024,27.4,33.4,28.9,4.5
01-04-2024,26,33,29.2,4
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
