Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-05-2024,28,,31.3,0.6
03-05-2024,27,33.8,30.7,2.8
04-05-2024,28,34,30.3,6.2
05-05-2024,27.4,34.6,30.8,5
06-05-2024,27,33.4,30.5,5.8
07-05-2024,28,35,31,3.7
08-05-2024,28,34.2,30.5,6.5
09-05-2024,27,35.2,30.6,4.2
10-05-2024,27.8,34.6,30.9,6
11-05-2024,28,36.6,31.1,7
12-05-2024,28,35,31,5.5
13-05-2024,28,34.8,30.9,5.7
14-05-2024,28,32.4,28.5,6
15-05-2024,27,34,30.7,0
16-05-2024,,34.2,30.4,4.5
17-05-2024,,34.6,30.4,5.5
18-05-2024,27.4,34.8,30.6,4.5
19-05-2024,27,33.2,30.3,4.5
20-05-2024,27.4,34.4,30.6,6.5
21-05-2024,27.4,33,30.5,3.4
22-05-2024,28,33.8,30.6,5.2
23-05-2024,28,32,28.9,3.2
24-05-2024,26,33.4,29.3,0
25-05-2024,26.6,33,27.2,4
26-05-2024,26.4,33,29.5,0
27-05-2024,26.8,35.6,31,0.4
28-05-2024,27,34,30.7,6
29-05-2024,28,34.2,30.8,6.4
30-05-2024,28,33.4,30.6,4.4
31-05-2024,28,34.6,30.8,5.2
01-06-2024,26.6,33,29.7,2.8
02-06-2024,,33.6,29.7,1
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
