Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-11-2023,27.6,33.4,30.3,3.5
03-11-2023,27.8,33.4,30.2,4
04-11-2023,27.6,32.6,28.2,4.2
05-11-2023,24.4,32.6,28.7,1.5
06-11-2023,25,33.4,30.1,0.6
07-11-2023,27.4,33.4,30.4,5.2
08-11-2023,27.6,33.6,30.4,3.2
09-11-2023,27,,30,0
10-11-2023,27,33.4,29.2,0
11-11-2023,26.2,33.2,29.3,0
12-11-2023,,34,30.1,0
13-11-2023,26,35.6,31.2,0
14-11-2023,28,34.4,29.7,8
15-11-2023,25.2,33.4,29.6,0
16-11-2023,26.2,34.2,29.7,4.2
17-11-2023,26,33.4,29.8,7.6
18-11-2023,27,33.4,29.2,6.2
19-11-2023,27,33.4,29.6,6
20-11-2023,26,34.2,30.4,7.8
21-11-2023,27.4,33.6,30.2,6.3
22-11-2023,26,33.6,30,6.8
23-11-2023,27.4,32.2,29.2,3
24-11-2023,26.8,32.8,28.6,0
25-11-2023,25,29.6,26.1,1
26-11-2023,24.8,32.8,29.1,0
27-11-2023,26.4,32.2,28.2,5.2
28-11-2023,26.4,33,29.5,0
29-11-2023,,34.2,29.8,
30-11-2023,25.8,32.6,28.3,6.2
01-12-2023,26.4,30.4,26.9,2.3
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
