Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-10-2023,26.8,33,29.2,4.3
03-10-2023,26.6,34.2,29.2,4.8
04-10-2023,25,33,29,8
05-10-2023,27.2,34,29.8,8
06-10-2023,,32.4,29.3,8.5
07-10-2023,26.4,33.6,29.6,4.4
08-10-2023,26,33.4,29.7,4.9
09-10-2023,27,34.6,30.1,7.5
10-10-2023,27.8,34.8,30.7,8
11-10-2023,27.6,33.8,30.1,7
12-10-2023,28,35.2,30.2,6.2
13-10-2023,28,35,30.1,7.6
14-10-2023,28,33.6,30.3,7
15-10-2023,27.4,36,30.8,6
16-10-2023,27.6,35,30.1,5.7
17-10-2023,28,36.6,31.8,8
18-10-2023,26,33.4,30.3,7.6
19-10-2023,27.6,34.8,30.7,7.5
20-10-2023,26,33,29.9,6.4
21-10-2023,28,34.6,30.2,7.2
22-10-2023,27.8,33.8,30.4,8
23-10-2023,,,,
24-10-2023,26,33,29.4,8
25-10-2023,26.4,33,29.5,2
26-10-2023,27.2,33.6,30.1,4.4
27-10-2023,27,33.8,30.1,7
28-10-2023,27,33.6,30.3,7
29-10-2023,27,34,29.8,8
30-10-2023,27,33.8,30.7,7.8
31-10-2023,27.8,33.6,29.8,6.5
01-11-2023,27,33.2,29.8,4.3
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
