Unnamed: 0,ID WMO,:  96745,Unnamed: 3,Unnamed: 4
,Nama Stasiun,:  Stasiun Meteorologi Kemayoran,,
,Lintang,:  -6.15559,,
,Bujur,:  106.84000,,
,Elevasi,:  4,,
,,,,
,,,,
,,,,
Tanggal,Tn,Tx,Tavg,ss
02-09-2023,25,31.6,28.5,7.4
03-09-2023,26.6,32.6,28.9,4.7
04-09-2023,24.2,33.4,28.3,5.5
05-09-2023,24.6,33.6,28.4,7.5
06-09-2023,25.2,33.4,28.7,8
07-09-2023,26,32.6,28.7,9.2
08-09-2023,26.6,33.2,29,9.3
09-09-2023,26.6,33,29.3,8
10-09-2023,26.2,31.8,28.4,8
11-09-2023,26.6,33,29.1,6.7
12-09-2023,26.2,34.4,29.6,6
13-09-2023,26.6,33,29.5,8
14-09-2023,25,33.6,29.2,7
15-09-2023,26,34.2,29.5,8.2
16-09-2023,26.4,33.4,29.3,9
17-09-2023,26.6,33,29.1,8
18-09-2023,26.8,32.4,29,7.4
19-09-2023,27.4,32.6,29.7,8.2
20-09-2023,26.6,32.8,28.9,3
21-09-2023,,33.4,29.3,8
22-09-2023,25,32.6,28.8,7
23-09-2023,26.4,32.6,28.9,8
24-09-2023,26.6,32.2,28.7,3.6
25-09-2023,25.6,34.2,29.3,6
26-09-2023,25,34,29.5,9
27-09-2023,26,35,29.8,9
28-09-2023,,35.2,30,9.8
29-09-2023,26.8,36.8,30.4,9.5
30-09-2023,25.6,33,29.1,9.2
01-10-2023,26.6,32.8,28.9,8
,,,,
,,,,
,,,,
Keterangan :,,,,
8888: data tidak terukur,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,
Tn: Temperatur minimum	 (°C),,,,
Tx: Temperatur maksimum (°C),,,,
Tavg: Temperatur rata-rata (°C),,,,
ss: Lamanya penyinaran matahari (jam),,,,
